plant_fut_SZ,seed_SZ,HTp
futBSA12,DM23,0.5895533572
futBSA12,DMG11,0.5431893897
futBSA12,FF11,0.5436822585
futBSA12,FP11,0.5377994231
futBSA12,FP12,0.3846699963
futBSA12,KU11,0.8931094179
futBSA12,LBH11,0.9793138307
futBSA12,LBH12,0.950882693
futBSA12,LBH13,0.9599595152
futBSA12,LBH14,0.9708405481
futBSA12,LBH15,0.9075761242
futBSA12,LBH16,0.9350430886
futBSA12,LBH21,0.9362867096
futBSA12,LF11,0.8165870017
futBSA12,LF12,0.7469195667
futBSA12,LF13,0.5800592559
futBSA12,LF14,0.5537564044
futBSA12,LF15,0.5778986479
futBSA12,LF21,0.5328606573
futBSA12,LF22,0.5325934174
futBSA12,LF23,0.5036166286
futBSA12,M11,0.5640543924
futBSA12,M21,0.4655203204
futBSA12,M22,0.6166507118
futBSA12,M32,0.5597793065
futBSA12,M41,0.5241428472
futBSA12,M42,0.4020658678
futBSA12,M43,0.5300137943
futBSA12,M44,0.487142714
futBSA12,M45,0.4714308816
futBSA12,M51,0.485286994
futBSA12,M53,0.4698253705
futBSA12,M54,0.4525402123
futBSA12,M55,0.4516608942
futBSA12,M56,0.3937309762
futBSA12,MG11,0.5450724273
futBSA12,MG12,0.4293884267
futBSA12,MG13,0.5348768481
futBSA12,NF11,0.7100256192
futBSA12,NM11,0.9090763469
futBSA12,NM21,0.9439462356
futBSA12,PAD11,0.9241779889
futBSA12,PRP11,0.8381736463
futBSA12,SA11,0.3670887387
futBSA12,SA12,0.376308569
futBSA12,SA21,0.2471370058
futBSA12,SA22,0.2546256539
futBSA12,SA31,0.3544201708
futBSA12,SA32,0.3907235496
futBSA12,SA33,0.325648118
futBSA12,SA41,0.2492782538
futBSA12,SA42,0.2948629414
futBSA12,SA43,0.2328849375
futBSA12,UBH11,0.9372855202
futBSA12,UBH12,0.958336619
futBSA12,UBH13,0.8390138754
futBSA12,UF11,0.4448302753
futBSA12,UF12,0.4827168141
futBSA12,UF13,0.4459625087
futBSA12,UF14,0.465414023
futBSA12,UF15,0.489283719
futBSA12,UF24,0.4386218161
futBSA12,UF25,0.4248707208
futCM11,AP11,0.9081356335
futCM11,BSA11,0.6041543574
futCM11,BSA12,0.6556642585
futCM11,CM11,0.8999689761
futCM11,CM12,0.9415918983
futCM11,CM13,0.9041971271
futCM11,CM21,0.9068853583
futCM11,CM22,0.8882879035
futCM11,CM23,0.8842692815
futCM11,CM24,0.8528457233
futCM11,CM31,0.8346929826
futCM11,CM32,0.7552229187
futCM11,CM33,0.7559969726
futCM11,CM34,0.6532522708
futCM11,CM35,0.5752934115
futCM11,CP11,0.7902865364
futCM11,CP12,0.7428146863
futCM11,DM11,0.9542942678
futCM11,DM12,0.8698749886
futCM11,DM13,0.8117252149
futCM11,DM21,0.8497447154
futCM11,DM22,0.7379921785
futCM11,DM23,0.5450316703
futCM11,DMG11,0.6750628546
futCM11,FF11,0.5456477771
futCM11,FP11,0.4694292849
futCM11,FP12,0.3266018531
futCM11,KU11,0.8008131247
futCM11,LBH11,0.8444375135
futCM11,LBH12,0.7464272803
futCM11,LBH13,0.7836223241
futCM11,LBH14,0.8281412817
futCM11,LBH15,0.780868599
futCM11,LBH16,0.7921359232
futCM11,LBH21,0.7122591134
