plant_SZ,seed_SZ,GS
BSA12,DM21,0.717426533
BSA12,DM22,0.622406038
BSA12,DM23,0.433052467
BSA12,DMG11,0.349420045
BSA12,FF11,0.346775016
BSA12,FP11,0.357298326
BSA12,FP12,0.211204282
BSA12,KU11,0.872887765
BSA12,LBH11,0.971207576
BSA12,LBH12,0.940012025
BSA12,LBH13,0.929845242
BSA12,LBH14,0.941980635
BSA12,LBH15,0.841277881
BSA12,LBH16,0.901307362
BSA12,LBH21,0.923854306
BSA12,LF11,0.735133923
BSA12,LF12,0.662332143
BSA12,LF13,0.474383402
BSA12,LF14,0.444779587
BSA12,LF15,0.444431391
BSA12,LF21,0.410316878
BSA12,LF22,0.390149943
BSA12,LF23,0.34847613
BSA12,M11,0.346551664
BSA12,M21,0.35394455
BSA12,M22,0.474530823
BSA12,M32,0.423784008
BSA12,M41,0.373909522
BSA12,M42,0.265304847
BSA12,M43,0.356650509
BSA12,M44,0.312388215
BSA12,M45,0.281391307
BSA12,M51,0.339360926
BSA12,M53,0.309583692
BSA12,M54,0.284081457
BSA12,M55,0.27176822
BSA12,M56,0.220343683
BSA12,MG11,0.346258328
BSA12,MG12,0.238734797
BSA12,MG13,0.324131021
BSA12,NF11,0.526772805
BSA12,NM11,0.891987543
BSA12,NM21,0.933169228
BSA12,PAD11,0.90553078
BSA12,PRP11,0.760502727
BSA12,SA11,0.264582398
BSA12,SA12,0.258223753
BSA12,SA21,0.163163173
BSA12,SA22,0.161087621
BSA12,SA31,0.226064038
BSA12,SA32,0.233606156
BSA12,SA33,0.175400629
BSA12,SA41,0.148007542
BSA12,SA42,0.16759637
BSA12,SA43,0.116597936
BSA12,UBH11,0.908832083
BSA12,UBH12,0.931459593
BSA12,UBH13,0.789741242
BSA12,UF11,0.345431177
BSA12,UF12,0.368262415
BSA12,UF13,0.337526248
BSA12,UF14,0.33839951
BSA12,UF15,0.339704002
BSA12,UF24,0.308871028
BSA12,UF25,0.287289213
CM11,AP11,0.88962231
CM11,BSA11,0.546406364
CM11,BSA12,0.600720722
CM11,CM11,0.881367635
CM11,CM12,0.92815549
CM11,CM13,0.886307252
CM11,CM21,0.878798958
CM11,CM22,0.856800248
CM11,CM23,0.850759174
CM11,CM24,0.803355359
CM11,CM31,0.766097195
CM11,CM32,0.676702337
CM11,CM33,0.691679892
CM11,CM34,0.568585096
CM11,CM35,0.462082253
CM11,CP11,0.673771081
CM11,CP12,0.599249603
CM11,DM11,0.943943848
CM11,DM12,0.831413711
CM11,DM13,0.749506464
CM11,DM21,0.761976735
CM11,DM22,0.639829453
CM11,DM23,0.415337342
CM11,DMG11,0.484565347
CM11,FF11,0.372600951
CM11,FP11,0.323224227
CM11,FP12,0.187278615
CM11,KU11,0.765111264
CM11,LBH11,0.81660772
CM11,LBH12,0.704016767
CM11,LBH13,0.74037163
CM11,LBH14,0.790793254
CM11,LBH15,0.720900217
CM11,LBH16,0.750170528
CM11,LBH21,0.664636199
CM11,LF11,0.607516838
CM11,LF12,0.596370961
CM11,LF13,0.427126617
CM11,LF14,0.400778544
CM11,LF15,0.414577439
CM11,LF21,0.353947594
CM11,LF22,0.338622287
CM11,LF23,0.284727516
CM11,M11,0.328894498
CM11,M21,0.284787514
CM11,M22,0.408915358
CM11,M32,0.326270645
CM11,M41,0.263383521
CM11,M42,0.155518278
CM11,M43,0.279121591
CM11,M44,0.251907132
CM11,M45,0.236830928
CM11,M51,0.219239351
CM11,M53,0.207141816
CM11,M54,0.202720751
CM11,M55,0.208377428
CM11,M56,0.170238076
CM11,MG11,0.43107312
CM11,MG12,0.324960337
CM11,MG13,0.382565796
CM11,NF11,0.615960375
CM11,NM11,0.775549132
CM11,NM21,0.709618818
CM11,PAD11,0.88756239
CM11,PRP11,0.766020629
CM11,SA11,0.170104993
CM11,SA12,0.149437347
CM11,SA21,0.083896096
CM11,SA22,0.076826519
CM11,SA31,0.12553462
CM11,SA32,0.144907533
CM11,SA33,0.115371574
CM11,SA41,0.070205572
CM11,SA42,0.087964561
CM11,SA43,0.066619985
CM11,UBH11,0.660737964
CM11,UBH12,0.716744111
CM11,UBH13,0.581021472
CM11,UF11,0.274886984
CM11,UF12,0.29328198
CM11,UF13,0.263286822
CM11,UF14,0.25337689
CM11,UF15,0.251296812
CM11,UF24,0.20464663
CM11,UF25,0.185434321
CM12,AP11,0.824393935
CM12,BSA11,0.500434819
CM12,BSA12,0.531553008
CM12,CM11,0.796748385
CM12,CM12,0.884523075
CM12,CM13,0.826514416
CM12,CM21,0.868663337
CM12,CM22,0.85418385
CM12,CM23,0.856440573
CM12,CM24,0.83382506
CM12,CM31,0.814770003
CM12,CM32,0.751242176
CM12,CM33,0.755070227
CM12,CM34,0.650841742
CM12,CM35,0.555117204
CM12,CP11,0.756664759
CM12,CP12,0.684585183
CM12,DM11,0.901876204
CM12,DM12,0.848751455
CM12,DM13,0.808112101
CM12,DM21,0.826436337
CM12,DM22,0.727061313
CM12,DM23,0.501784079
CM12,DMG11,0.530383825
CM12,FF11,0.452017159
CM12,FP11,0.39217205
CM12,FP12,0.247135342
CM12,KU11,0.659217759
CM12,LBH11,0.761444326
CM12,LBH12,0.639830856
CM12,LBH13,0.730756597
CM12,LBH14,0.785164563
CM12,LBH15,0.75345578
CM12,LBH16,0.756879102
CM12,LBH21,0.598482662
CM12,LF11,0.663667338
CM12,LF12,0.661728146
CM12,LF13,0.509078229
CM12,LF14,0.481342466
CM12,LF15,0.501641808
CM12,LF21,0.430197654
CM12,LF22,0.416394101
CM12,LF23,0.35036305
CM12,M11,0.386176316
CM12,M21,0.341478519
CM12,M22,0.45748777
CM12,M32,0.379432391
CM12,M41,0.307251277
CM12,M42,0.188250369
CM12,M43,0.333275189
CM12,M44,0.311682797
CM12,M45,0.295531872
CM12,M51,0.255042086
CM12,M53,0.249528621
CM12,M54,0.251539655
CM12,M55,0.262076562
CM12,M56,0.219827919
CM12,MG11,0.506308273
CM12,MG12,0.386977998
CM12,MG13,0.435199833
CM12,NF11,0.685096923
CM12,NM11,0.674452812
CM12,NM21,0.632421335
CM12,PAD11,0.801330743
CM12,PRP11,0.812518973
CM12,SA11,0.210219189
CM12,SA12,0.182022805
CM12,SA21,0.106237165
CM12,SA22,0.095913859
CM12,SA31,0.154738067
CM12,SA32,0.180495376
CM12,SA33,0.151070909
CM12,SA41,0.088678049
CM12,SA42,0.111548601
CM12,SA43,0.090499778
