BECvar_site,BECvar_seed,HTp_pred
futBSA12,LBH16,0.93203425
futBSA12,LBH21,0.904217164
futBSA12,LF11,0.823169216
futBSA12,LF12,0.761657157
futBSA12,LF13,0.598175309
futBSA12,LF14,0.571860867
futBSA12,LF15,0.598645539
futBSA12,LF21,0.548487679
futBSA12,LF22,0.549275904
futBSA12,LF23,0.51584268
futBSA12,M11,0.581201046
futBSA12,M21,0.474597282
futBSA12,M22,0.623880892
futBSA12,M32,0.564844608
futBSA12,M41,0.523902255
futBSA12,M42,0.397958805
futBSA12,M43,0.537389039
futBSA12,M44,0.498912286
futBSA12,M45,0.485878228
futBSA12,M51,0.481248646
futBSA12,M53,0.470553607
futBSA12,M54,0.458813312
futBSA12,M55,0.462924622
futBSA12,M56,0.405100187
futBSA12,MG11,0.57638563
futBSA12,MG12,0.459070738
futBSA12,MG13,0.559211313
futBSA12,NF11,0.739534078
futBSA12,NM11,0.886553626
futBSA12,NM21,0.914851319
futBSA12,PAD11,0.916656029
futBSA12,PRP11,0.856242461
futBSA12,SA11,0.369280385
futBSA12,SA12,0.373515578
futBSA12,SA21,0.244813983
futBSA12,SA22,0.249782704
futBSA12,SA31,0.350907184
futBSA12,SA32,0.391661453
futBSA12,SA33,0.331081891
futBSA12,SA41,0.244635518
futBSA12,SA42,0.292428653
futBSA12,SA43,0.23568159
futBSA12,UBH11,0.916899894
futBSA12,UBH12,0.945683102
futBSA12,UBH13,0.832365017
futBSA12,UF11,0.457046817
futBSA12,UF12,0.495131568
futBSA12,UF13,0.456322045
futBSA12,UF14,0.474061468
futBSA12,UF15,0.496675535
futBSA12,UF24,0.44149811
futBSA12,UF25,0.426735648
futCM11,AP11,0.871722216
futCM11,BSA11,0.559247746
futCM11,BSA12,0.607039251
futCM11,CM11,0.861499642
futCM11,CM12,0.91262883
futCM11,CM13,0.868307894
futCM11,CM21,0.880210739
futCM11,CM22,0.861773159
futCM11,CM23,0.859618877
futCM11,CM24,0.833178666
futCM11,CM31,0.819984966
futCM11,CM32,0.749016411
futCM11,CM33,0.745411468
futCM11,CM34,0.650579957
futCM11,CM35,0.578936943
futCM11,CP11,0.79200276
futCM11,CP12,0.746882924
futCM11,DM11,0.928357158
futCM11,DM12,0.850846746
futCM11,DM13,0.803799603
futCM11,DM21,0.845188389
futCM11,DM22,0.738537672
futCM11,DM23,0.546986065
futCM11,DMG11,0.687485548
futCM11,FF11,0.553558019
futCM11,FP11,0.468184601
futCM11,FP12,0.33089732
futCM11,KU11,0.753453333
futCM11,LBH11,0.804002063
futCM11,LBH12,0.700001795
futCM11,LBH13,0.748851017
futCM11,LBH14,0.796737252
futCM11,LBH15,0.757637319
futCM11,LBH16,0.763455994
futCM11,LBH21,0.664843446
futCM11,LF11,0.663668839
futCM11,LF12,0.659866069
futCM11,LF13,0.515474868
futCM11,LF14,0.492409067
futCM11,LF15,0.526518319
futCM11,LF21,0.453015279
futCM11,LF22,0.453058545
futCM11,LF23,0.402395607
futCM11,M11,0.506382526
futCM11,M21,0.370548621
futCM11,M22,0.512337734
futCM11,M32,0.422604991
futCM11,M41,0.361933159
futCM11,M42,0.235310223
futCM11,M43,0.40269728
futCM11,M44,0.382260876
futCM11,M45,0.38356789
futCM11,M51,0.309227414
