plant_SZ,seed_SZ,GS
BSA12,DM21,0.802518534
BSA12,DM22,0.726287128
BSA12,DM23,0.557060333
BSA12,DMG11,0.482481687
BSA12,FF11,0.477561714
BSA12,FP11,0.480813261
BSA12,FP12,0.330509082
BSA12,KU11,0.88364188
BSA12,LBH11,0.965726746
BSA12,LBH12,0.930207195
BSA12,LBH13,0.937875091
BSA12,LBH14,0.952662185
BSA12,LBH15,0.882752377
BSA12,LBH16,0.923562854
BSA12,LBH21,0.914619144
BSA12,LF11,0.802571154
BSA12,LF12,0.750734058
BSA12,LF13,0.592715177
BSA12,LF14,0.565903359
BSA12,LF15,0.567128722
BSA12,LF21,0.531674119
BSA12,LF22,0.513144849
BSA12,LF23,0.469257123
BSA12,M11,0.469812346
BSA12,M21,0.472721203
BSA12,M22,0.582926321
BSA12,M32,0.535001077
BSA12,M41,0.48372457
BSA12,M42,0.372288845
BSA12,M43,0.473082768
BSA12,M44,0.432848968
BSA12,M45,0.402971448
BSA12,M51,0.447198181
BSA12,M53,0.421575676
BSA12,M54,0.399962636
BSA12,M55,0.390833891
BSA12,M56,0.335930426
BSA12,MG11,0.480398519
BSA12,MG12,0.368697987
BSA12,MG13,0.452977528
BSA12,NF11,0.646009563
BSA12,NM11,0.898961938
BSA12,NM21,0.924306105
BSA12,PAD11,0.922707932
BSA12,PRP11,0.832647666
BSA12,SA11,0.376906543
BSA12,SA12,0.36584158
BSA12,SA21,0.260269469
BSA12,SA22,0.255607822
BSA12,SA31,0.330908747
BSA12,SA32,0.342743639
BSA12,SA33,0.280916433
BSA12,SA41,0.240210855
BSA12,SA42,0.265739765
BSA12,SA43,0.206994987
BSA12,UBH11,0.913956285
BSA12,UBH12,0.937875542
BSA12,UBH13,0.834269947
BSA12,UF11,0.467510456
BSA12,UF12,0.489381311
BSA12,UF13,0.45791819
BSA12,UF14,0.456948564
BSA12,UF15,0.456866154
BSA12,UF24,0.422719092
BSA12,UF25,0.399957106
CM11,AP11,0.884729932
CM11,BSA11,0.597967155
CM11,BSA12,0.64137772
CM11,CM11,0.876522088
CM11,CM12,0.920692239
CM11,CM13,0.882625383
CM11,CM21,0.885396487
CM11,CM22,0.868644125
CM11,CM23,0.865674193
CM11,CM24,0.833452144
CM11,CM31,0.808715243
CM11,CM32,0.744207608
CM11,CM33,0.752425316
CM11,CM34,0.656911683
CM11,CM35,0.568910341
CM11,CP11,0.748693708
CM11,CP12,0.688667152
CM11,DM11,0.935265718
CM11,DM12,0.855750328
CM11,DM13,0.801379873
CM11,DM21,0.814383354
CM11,DM22,0.719767274
CM11,DM23,0.524588956
CM11,DMG11,0.595449091
CM11,FF11,0.488851499
CM11,FP11,0.433588775
CM11,FP12,0.293925122
CM11,KU11,0.777684994
CM11,LBH11,0.824596908
CM11,LBH12,0.729269013
CM11,LBH13,0.769574185
CM11,LBH14,0.812728289
CM11,LBH15,0.764786914
CM11,LBH16,0.782944174
CM11,LBH21,0.696061962
CM11,LF11,0.677194893
CM11,LF12,0.674723515
CM11,LF13,0.532907817
CM11,LF14,0.509106773
CM11,LF15,0.523356152
CM11,LF21,0.463148926
CM11,LF22,0.449033653
CM11,LF23,0.392677702
CM11,M11,0.438686125
CM11,M21,0.391116241
CM11,M22,0.506996005
CM11,M32,0.428398378
CM11,M41,0.362765048
CM11,M42,0.243918083
CM11,M43,0.383400794
CM11,M44,0.35871742
CM11,M45,0.344680008
CM11,M51,0.314708713
CM11,M53,0.304442062
CM11,M54,0.302927393
CM11,M55,0.312122514
CM11,M56,0.269879841
CM11,MG11,0.547915255
CM11,MG12,0.448979738
CM11,MG13,0.496513113
CM11,NF11,0.703451688
CM11,NM11,0.786475777
CM11,NM21,0.732736436
CM11,PAD11,0.882008896
CM11,PRP11,0.812549528
CM11,SA11,0.264402557
CM11,SA12,0.237475944
CM11,SA21,0.154889071
CM11,SA22,0.143900075
CM11,SA31,0.208358478
CM11,SA32,0.234139689
CM11,SA33,0.200468196
CM11,SA41,0.134690095
CM11,SA42,0.160523416
CM11,SA43,0.133180935
CM11,UBH11,0.701295699
CM11,UBH12,0.750375267
CM11,UBH13,0.645911947
CM11,UF11,0.383832362
CM11,UF12,0.401960763
CM11,UF13,0.370415257
CM11,UF14,0.358622724
CM11,UF15,0.355317767
CM11,UF24,0.303130022
CM11,UF25,0.281340663
CM12,AP11,0.828146558
CM12,BSA11,0.554689315
CM12,BSA12,0.580296736
CM12,CM11,0.805870948
CM12,CM12,0.901
CM12,CM13,0.830035941
CM12,CM21,0.901
CM12,CM22,0.901
CM12,CM23,0.901
CM12,CM24,0.847393442
CM12,CM31,0.83716988
CM12,CM32,0.794805851
CM12,CM33,0.793718925
CM12,CM34,0.717448493
CM12,CM35,0.64375947
CM12,CP11,0.806883763
CM12,CP12,0.751736954
CM12,DM11,0.901
CM12,DM12,0.901
CM12,DM13,0.838037007
CM12,DM21,0.901
CM12,DM22,0.782103911
CM12,DM23,0.596224838
CM12,DMG11,0.630935597
CM12,FF11,0.557756769
CM12,FP11,0.494561009
CM12,FP12,0.356287609
CM12,KU11,0.690322709
CM12,LBH11,0.775320702
CM12,LBH12,0.672862221
CM12,LBH13,0.754057121
CM12,LBH14,0.800016812
CM12,LBH15,0.781468264
CM12,LBH16,0.779847842
CM12,LBH21,0.637881453
CM12,LF11,0.714530513
CM12,LF12,0.720433391
CM12,LF13,0.599363612
CM12,LF14,0.575835642
CM12,LF15,0.595279926
CM12,LF21,0.528483669
CM12,LF22,0.51680043
CM12,LF23,0.452285016
CM12,M11,0.48888632
CM12,M21,0.442006995
CM12,M22,0.545046497
CM12,M32,0.473502953
CM12,M41,0.401846352
CM12,M42,0.277437776
CM12,M43,0.432132838
CM12,M44,0.414905309
CM12,M45,0.401222435
CM12,M51,0.347819615
CM12,M53,0.345229069
CM12,M54,0.351031534
CM12,M55,0.365353296
CM12,M56,0.321951255
CM12,MG11,0.610884387
CM12,MG12,0.505979082
CM12,MG13,0.541040006
CM12,NF11,0.753415141
CM12,NM11,0.702904615
CM12,NM21,0.666506841
CM12,PAD11,0.810147766
CM12,PRP11,0.839790513
CM12,SA11,0.305301829
CM12,SA12,0.271303966
CM12,SA21,0.181980112
CM12,SA22,0.167322094
CM12,SA31,0.240127418
CM12,SA32,0.272028899
CM12,SA33,0.241513341
CM12,SA41,0.157963749
CM12,SA42,0.188895976
CM12,SA43,0.164763304
CM12,UBH11,0.680997734
CM12,UBH12,0.736155497
CM12,UBH13,0.660003984
CM12,UF11,0.443875394
CM12,UF12,0.463232842
CM12,UF13,0.426495696
CM12,UF14,0.413885192
CM12,UF15,0.408356274
