plant_fut_SZ,seed_SZ,HTp
futAP11,AP11,0.9353069106
futAP11,BSA11,0.6625450562
futAP11,BSA12,0.705580815
futAP11,CM11,0.918157086
futAP11,CM12,0.9653620629
futAP11,CM13,0.9327504597
futAP11,CM21,0.9452994199
futAP11,CM22,0.9305234983
futAP11,CM23,0.9252520095
futAP11,CM24,0.8970950704
futAP11,CM31,0.8749088865
futAP11,CM32,0.7961467256
futAP11,CM33,0.8003698509
futAP11,CM34,0.6921882384
futAP11,CM35,0.6095208664
futAP11,CP11,0.8112860228
futAP11,CP12,0.7586094911
futAP11,DM11,0.9718084838
futAP11,DM12,0.897932601
futAP11,DM13,0.8420166511
futAP11,DM21,0.8728076676
futAP11,DM22,0.7698228175
futAP11,DM23,0.5769434561
futAP11,DMG11,0.6419577997
futAP11,FF11,0.5573376311
futAP11,FP11,0.4963604487
futAP11,FP12,0.3522038577
futAP11,KU11,0.8232087131
futAP11,LBH11,0.8850661546
futAP11,LBH12,0.7947263292
futAP11,LBH13,0.8405133741
futAP11,LBH14,0.8762056519
futAP11,LBH15,0.8337747332
futAP11,LBH16,0.8390683645
futAP11,LBH21,0.7620823604
futAP11,LF11,0.7375394651
futAP11,LF12,0.708176491
futAP11,LF13,0.5564337867
futAP11,LF14,0.5300945479
futAP11,LF15,0.5623269252
futAP11,LF21,0.4931250292
futAP11,LF22,0.4920074227
futAP11,LF23,0.4417266692
futAP11,M11,0.5226982317
futAP11,M21,0.4077124128
futAP11,M22,0.5504576747
futAP11,M32,0.4699069611
futAP11,M41,0.4125966599
futAP11,M42,0.2825642411
futAP11,M43,0.4440674708
futAP11,M44,0.4182206209
futAP11,M45,0.4122306596
futAP11,M51,0.3604241146
futAP11,M53,0.3562730586
futAP11,M54,0.3581290792
futAP11,M55,0.3722550352
futAP11,M56,0.3280562923
futAP11,MG11,0.6093666001
futAP11,MG12,0.5010237624
futAP11,MG13,0.5663836128
futAP11,NF11,0.7695128857
futAP11,NM11,0.8343498496
futAP11,NM21,0.7965269056
futAP11,PAD11,0.9216262303
futAP11,PRP11,0.8486533564
futAP11,SA11,0.2787969871
futAP11,SA12,0.2638884143
futAP11,SA21,0.1624974259
futAP11,SA22,0.1576638711
futAP11,SA31,0.2402680804
futAP11,SA32,0.2809437816
futAP11,SA33,0.2448906566
futAP11,SA41,0.1530537327
futAP11,SA42,0.1905387786
futAP11,SA43,0.1605735563
futAP11,UBH11,0.7725913355
futAP11,UBH12,0.8175141684
futAP11,UBH13,0.6968135949
futAP11,UF11,0.3947622987
futAP11,UF12,0.4245249607
futAP11,UF13,0.3862924251
futAP11,UF14,0.3902957781
futAP11,UF15,0.4021919505
futAP11,UF24,0.3363927205
futAP11,UF25,0.319282129
