plant_SZ,seed_SZ,GS
BSA12,DM21,0.816966759
BSA12,DM22,0.742897814
BSA12,DM23,0.570945926
BSA12,DMG11,0.502288805
BSA12,FF11,0.494464137
BSA12,FP11,0.490139104
BSA12,FP12,0.341276882
BSA12,KU11,0.8576293
BSA12,LBH11,0.946486955
BSA12,LBH12,0.899539667
BSA12,LBH13,0.921564402
BSA12,LBH14,0.941835511
BSA12,LBH15,0.878818807
BSA12,LBH16,0.91433893
BSA12,LBH21,0.880857022
BSA12,LF11,0.802243001
BSA12,LF12,0.758049763
BSA12,LF13,0.604257318
BSA12,LF14,0.577621051
BSA12,LF15,0.580511301
BSA12,LF21,0.541074707
BSA12,LF22,0.523130548
BSA12,LF23,0.475457447
BSA12,M11,0.478797555
BSA12,M21,0.476939034
BSA12,M22,0.584402258
BSA12,M32,0.534977584
BSA12,M41,0.479625326
BSA12,M42,0.365862445
BSA12,M43,0.475081302
BSA12,M44,0.438537142
BSA12,M45,0.410589764
BSA12,M51,0.440303764
BSA12,M53,0.418726011
BSA12,M54,0.401580667
BSA12,M55,0.396252211
BSA12,M56,0.341691745
BSA12,MG11,0.501073609
BSA12,MG12,0.388364552
BSA12,MG13,0.467789259
BSA12,NF11,0.664955414
BSA12,NM11,0.87349684
BSA12,NM21,0.893071477
BSA12,PAD11,0.910083977
BSA12,PRP11,0.842376676
BSA12,SA11,0.375718567
BSA12,SA12,0.360416494
BSA12,SA21,0.25588017
BSA12,SA22,0.249168673
BSA12,SA31,0.3252758
BSA12,SA32,0.340660379
BSA12,SA33,0.282688907
BSA12,SA41,0.234245056
BSA12,SA42,0.261601449
BSA12,SA43,0.207415554
BSA12,UBH11,0.89001633
BSA12,UBH12,0.920374275
BSA12,UBH13,0.822250831
BSA12,UF11,0.474934973
BSA12,UF12,0.49643723
BSA12,UF13,0.463481161
BSA12,UF14,0.460653424
BSA12,UF15,0.459210184
BSA12,UF24,0.421680978
BSA12,UF25,0.398206248
CM11,AP11,0.847385954
CM11,BSA11,0.554450395
CM11,BSA12,0.594913868
CM11,CM11,0.837538783
CM11,CM12,0.889360654
CM11,CM13,0.845631858
CM11,CM21,0.856141533
CM11,CM22,0.839550713
CM11,CM23,0.838154255
CM11,CM24,0.810365436
CM11,CM31,0.790129892
CM11,CM32,0.733102807
CM11,CM33,0.737376386
CM11,CM34,0.64935243
CM11,CM35,0.567497271
CM11,CP11,0.744465345
CM11,CP12,0.686749924
CM11,DM11,0.906395429
CM11,DM12,0.832991451
CM11,DM13,0.788443172
CM11,DM21,0.804475804
CM11,DM22,0.714677838
CM11,DM23,0.522000822
CM11,DMG11,0.600878796
CM11,FF11,0.491221234
CM11,FP11,0.429042055
CM11,FP12,0.294843083
