plant_SZ,seed_SZ,GS
AP11,AP11,0.912914513
AP11,BSA11,0.649264734
AP11,BSA12,0.683518959
AP11,CM11,0.894963455
AP11,CM12,0.946921673
AP11,CM13,0.910265076
AP11,CM21,0.927120838
AP11,CM22,0.913677265
AP11,CM23,0.909980227
AP11,CM24,0.882682097
AP11,CM31,0.856599726
AP11,CM32,0.79263682
AP11,CM33,0.802021865
AP11,CM34,0.702713551
AP11,CM35,0.612065664
AP11,CP11,0.783851812
AP11,CP12,0.720145871
AP11,DM11,0.955757405
AP11,DM12,0.889541361
AP11,DM13,0.839675379
AP11,DM21,0.85014733
AP11,DM22,0.76199021
AP11,DM23,0.565810783
AP11,DMG11,0.588783079
AP11,FF11,0.514537949
AP11,FP11,0.469321976
AP11,FP12,0.325500315
AP11,KU11,0.797372988
AP11,LBH11,0.862137051
AP11,LBH12,0.771753288
AP11,LBH13,0.825301652
AP11,LBH14,0.861316033
AP11,LBH15,0.820945313
AP11,LBH16,0.830384752
AP11,LBH21,0.73889588
AP11,LF11,0.737219713
AP11,LF12,0.719194181
AP11,LF13,0.578759044
AP11,LF14,0.552684033
AP11,LF15,0.568176682
AP11,LF21,0.507734077
AP11,LF22,0.493854758
AP11,LF23,0.434504376
AP11,M11,0.465328071
AP11,M21,0.428495671
AP11,M22,0.541741023
AP11,M32,0.470759083
AP11,M41,0.405291053
AP11,M42,0.283328428
AP11,M43,0.422832912
AP11,M44,0.39714307
AP11,M45,0.378909697
AP11,M51,0.35608327
AP11,M53,0.344800846
AP11,M54,0.341726344
AP11,M55,0.348051389
AP11,M56,0.303743174
AP11,MG11,0.559186943
AP11,MG12,0.450428143
AP11,MG13,0.505067486
AP11,NF11,0.721038517
AP11,NM11,0.806558812
AP11,NM21,0.769706052
AP11,PAD11,0.899263547
AP11,PRP11,0.845307953
AP11,SA11,0.301574174
AP11,SA12,0.275524435
AP11,SA21,0.183656759
AP11,SA22,0.17255147
AP11,SA31,0.244274942
AP11,SA32,0.269673591
AP11,SA33,0.23198726
AP11,SA41,0.162501769
AP11,SA42,0.190107352
AP11,SA43,0.158463908
AP11,UBH11,0.760047622
AP11,UBH12,0.804897962
AP11,UBH13,0.701214581
AP11,UF11,0.426046746
AP11,UF12,0.445793505
AP11,UF13,0.410811365
AP11,UF14,0.402232799
AP11,UF15,0.398820226
AP11,UF24,0.344978231
AP11,UF25,0.322388835
BSA11,AP11,0.914976049
BSA11,BSA11,0.914697986
BSA11,BSA12,0.901679017
BSA11,CM11,0.880157971
BSA11,CM12,0.923324429
BSA11,CM13,0.933118159
BSA11,CM21,0.942788684
BSA11,CM22,0.947848629
BSA11,CM23,0.949486249
BSA11,CM24,0.917936674
BSA11,CM31,0.879735544
BSA11,CM32,0.812519316
BSA11,CM33,0.849855064
BSA11,CM34,0.741828133
BSA11,CM35,0.633263929
BSA11,CP11,0.734989119
BSA11,CP12,0.673858152
BSA11,DM11,0.908381468
BSA11,DM12,0.899866858
BSA11,DM13,0.835266448
BSA11,DM21,0.801832913
