BECvar_site,BECvar_seed,HTp_pred
futAP11,AP11,0.935306911
futAP11,BSA11,0.662545056
futAP11,BSA12,0.705580815
futAP11,CM11,0.918157086
futAP11,CM12,0.965362063
futAP11,CM13,0.93275046
futAP11,CM21,0.94529942
futAP11,CM22,0.930523498
futAP11,CM23,0.92525201
futAP11,CM24,0.89709507
futAP11,CM31,0.874908887
futAP11,CM32,0.796146726
futAP11,CM33,0.800369851
futAP11,CM34,0.692188238
futAP11,CM35,0.609520866
futAP11,CP11,0.811286023
futAP11,CP12,0.758609491
futAP11,DM11,0.971808484
futAP11,DM12,0.897932601
futAP11,DM13,0.842016651
futAP11,DM21,0.872807668
futAP11,DM22,0.769822818
futAP11,DM23,0.576943456
futAP11,DMG11,0.6419578
futAP11,FF11,0.557337631
futAP11,FP11,0.496360449
futAP11,FP12,0.352203858
futAP11,KU11,0.823208713
futAP11,LBH11,0.885066155
futAP11,LBH12,0.794726329
futAP11,LBH13,0.840513374
futAP11,LBH14,0.876205652
futAP11,LBH15,0.833774733
futAP11,LBH16,0.839068365
futAP11,LBH21,0.76208236
futAP11,LF11,0.737539465
futAP11,LF12,0.708176491
futAP11,LF13,0.556433787
futAP11,LF14,0.530094548
futAP11,LF15,0.562326925
futAP11,LF21,0.493125029
futAP11,LF22,0.492007423
futAP11,LF23,0.441726669
futAP11,M11,0.522698232
futAP11,M21,0.407712413
futAP11,M22,0.550457675
futAP11,M32,0.469906961
futAP11,M41,0.41259666
futAP11,M42,0.282564241
futAP11,M43,0.444067471
futAP11,M44,0.418220621
futAP11,M45,0.41223066
futAP11,M51,0.360424115
futAP11,M53,0.356273059
futAP11,M54,0.358129079
futAP11,M55,0.372255035
futAP11,M56,0.328056292
futAP11,MG11,0.6093666
futAP11,MG12,0.501023762
futAP11,MG13,0.566383613
futAP11,NF11,0.769512886
futAP11,NM11,0.83434985
futAP11,NM21,0.796526906
futAP11,PAD11,0.92162623
futAP11,PRP11,0.848653356
futAP11,SA11,0.278796987
futAP11,SA12,0.263888414
futAP11,SA21,0.162497426
futAP11,SA22,0.157663871
futAP11,SA31,0.24026808
futAP11,SA32,0.280943782
futAP11,SA33,0.244890657
futAP11,SA41,0.153053733
futAP11,SA42,0.190538779
futAP11,SA43,0.160573556
futAP11,UBH11,0.772591336
futAP11,UBH12,0.817514168
futAP11,UBH13,0.696813595
futAP11,UF11,0.394762299
futAP11,UF12,0.424524961
futAP11,UF13,0.386292425
futAP11,UF14,0.390295778
futAP11,UF15,0.402191951
futAP11,UF24,0.336392721
futAP11,UF25,0.319282129
futBSA11,AP11,0.905303094
futBSA11,BSA11,0.936678268
futBSA11,BSA12,0.921929691
futBSA11,CM11,0.866018711
futBSA11,CM12,0.906903593
futBSA11,CM13,0.922853742
futBSA11,CM21,0.937683999
futBSA11,CM22,0.944421161
futBSA11,CM23,0.945929309
futBSA11,CM24,0.918646413
futBSA11,CM31,0.888513373
futBSA11,CM32,0.807965162
futBSA11,CM33,0.838842187
futBSA11,CM34,0.726444387
futBSA11,CM35,0.631881881
futBSA11,CP11,0.752103273
futBSA11,CP12,0.705903193
futBSA11,DM11,0.885986564
futBSA11,DM12,0.88742666
futBSA11,DM13,0.822395647
futBSA11,DM21,0.809342958
futBSA11,DM22,0.747481164
futBSA11,DM23,0.618307727
futBSA11,DMG11,0.473734579
futBSA11,FF11,0.543634316
futBSA11,FP11,0.57135134
futBSA11,FP12,0.425830751
futBSA11,KU11,0.836476419
futBSA11,LBH11,0.959826266
futBSA11,LBH12,0.955840182
futBSA11,LBH13,0.982784287
futBSA11,LBH14,0.976520777
futBSA11,LBH15,0.931723427
