plant_SZ,seed_SZ,GS
AP11,AP11,0.92299279
AP11,BSA11,0.608193724
AP11,BSA12,0.651787407
AP11,CM11,0.901397691
AP11,CM12,0.958531805
AP11,CM13,0.918936305
AP11,CM21,0.930091446
AP11,CM22,0.912387189
AP11,CM23,0.905207277
AP11,CM24,0.863440736
AP11,CM31,0.823454054
AP11,CM32,0.732886541
AP11,CM33,0.750051337
AP11,CM34,0.619614555
AP11,CM35,0.507318951
AP11,CP11,0.712547017
AP11,CP12,0.632690019
AP11,DM11,0.966314282
AP11,DM12,0.871261743
AP11,DM13,0.793933687
AP11,DM21,0.802691482
AP11,DM22,0.687153401
AP11,DM23,0.457568989
AP11,DMG11,0.473681711
AP11,FF11,0.397036294
AP11,FP11,0.357918496
AP11,FP12,0.214076344
AP11,KU11,0.787197329
AP11,LBH11,0.862765337
AP11,LBH12,0.756438789
AP11,LBH13,0.809771128
AP11,LBH14,0.850983852
AP11,LBH15,0.789316206
AP11,LBH16,0.808197031
AP11,LBH21,0.717172801
AP11,LF11,0.678121755
AP11,LF12,0.646896534
AP11,LF13,0.475158282
AP11,LF14,0.445664499
AP11,LF15,0.46086644
AP11,LF21,0.398822655
AP11,LF22,0.383197842
AP11,LF23,0.324928811
AP11,M11,0.354266118
AP11,M21,0.320781112
AP11,M22,0.445145461
AP11,M32,0.369060491
AP11,M41,0.304781175
AP11,M42,0.189808925
AP11,M43,0.317214527
AP11,M44,0.287786191
AP11,M45,0.268034586
AP11,M51,0.258262186
AP11,M53,0.244199156
AP11,M54,0.237670463
AP11,M55,0.240481886
AP11,M56,0.199018728
AP11,MG11,0.440191598
AP11,MG12,0.324026258
AP11,MG13,0.388973784
AP11,NF11,0.632682202
AP11,NM11,0.798202544
AP11,NM21,0.754744523
AP11,PAD11,0.905912393
AP11,PRP11,0.803569984
AP11,SA11,0.202514998
AP11,SA12,0.182143285
AP11,SA21,0.105347427
AP11,SA22,0.09797526
AP11,SA31,0.155189077
AP11,SA32,0.174848105
AP11,SA33,0.140126716
AP11,SA41,0.090269191
AP11,SA42,0.110271515
AP11,SA43,0.084038923
AP11,UBH11,0.73327688
AP11,UBH12,0.784229209
AP11,UBH13,0.646387327
AP11,UF11,0.315105009
AP11,UF12,0.335780642
AP11,UF13,0.301534249
AP11,UF14,0.294621497
AP11,UF15,0.292492205
AP11,UF24,0.242793496
AP11,UF25,0.222082888
BSA11,AP11,0.884071267
BSA11,BSA11,0.924614504
BSA11,BSA12,0.9059171
BSA11,CM11,0.841170097
BSA11,CM12,0.884640142
BSA11,CM13,0.907479333
BSA11,CM21,0.909182427
BSA11,CM22,0.916426629
BSA11,CM23,0.916352929
BSA11,CM24,0.870406565
BSA11,CM31,0.816116832
BSA11,CM32,0.724905559
BSA11,CM33,0.775952115
BSA11,CM34,0.637969528
BSA11,CM35,0.508384963
BSA11,CP11,0.62415186
BSA11,CP12,0.552553112
BSA11,DM11,0.861331492
BSA11,DM12,0.845492189
BSA11,DM13,0.753552145
BSA11,DM21,0.708599857
BSA11,DM22,0.640178345
BSA11,DM23,0.473638668
BSA11,DMG11,0.309044928
BSA11,FF11,0.36150552
BSA11,FP11,0.399365435
BSA11,FP12,0.249976987
BSA11,KU11,0.807209427
BSA11,LBH11,0.95136616
BSA11,LBH12,0.947321842
BSA11,LBH13,0.966182649
BSA11,LBH14,0.958418599
BSA11,LBH15,0.882592682
BSA11,LBH16,0.928705159
BSA11,LBH21,0.937947748
BSA11,LF11,0.802403935
BSA11,LF12,0.702979072
BSA11,LF13,0.527666778
BSA11,LF14,0.496660505
BSA11,LF15,0.492495086
BSA11,LF21,0.469222453
BSA11,LF22,0.448171179
BSA11,LF23,0.409342375
BSA11,M11,0.369747219
BSA11,M21,0.412076261
BSA11,M22,0.516504928
BSA11,M32,0.492502563
BSA11,M41,0.451612394
BSA11,M42,0.350603243
BSA11,M43,0.417848074
BSA11,M44,0.369091609
BSA11,M45,0.327872675
BSA11,M51,0.423011573
BSA11,M53,0.386537242
BSA11,M54,0.351348765
BSA11,M55,0.327764456
BSA11,M56,0.271381664
BSA11,MG11,0.33384825
BSA11,MG12,0.222581352
BSA11,MG13,0.311756998
BSA11,NF11,0.505135157
BSA11,NM11,0.830496428
BSA11,NM21,0.921867522
BSA11,PAD11,0.82656042
BSA11,PRP11,0.753879501
BSA11,SA11,0.339553542
BSA11,SA12,0.342323729
BSA11,SA21,0.230295143
BSA11,SA22,0.231754436
BSA11,SA31,0.306343322
BSA11,SA32,0.304363948
BSA11,SA33,0.231089717
BSA11,SA41,0.215074498
BSA11,SA42,0.233821866
BSA11,SA43,0.164457754
BSA11,UBH11,0.9689666
BSA11,UBH12,0.975377102
BSA11,UBH13,0.869093288
BSA11,UF11,0.410164727
BSA11,UF12,0.435490578
