plant_SZ,seed_SZ,GS
BSA12,DM21,0.757535621
BSA12,DM22,0.678534584
BSA12,DM23,0.517952205
BSA12,DMG11,0.436099632
BSA12,FF11,0.435507218
BSA12,FP11,0.452097594
BSA12,FP12,0.302660568
BSA12,KU11,0.92047676
BSA12,LBH11,0.985350668
BSA12,LBH12,0.975208901
BSA12,LBH13,0.951089146
BSA12,LBH14,0.954462861
BSA12,LBH15,0.871378755
BSA12,LBH16,0.922503336
BSA12,LBH21,0.96684725
BSA12,LF11,0.785244257
BSA12,LF12,0.719937
BSA12,LF13,0.556828257
BSA12,LF14,0.530366882
BSA12,LF15,0.528510717
BSA12,LF21,0.501155183
BSA12,LF22,0.482004417
BSA12,LF23,0.446306272
BSA12,M11,0.442571897
BSA12,M21,0.453511411
BSA12,M22,0.567295989
BSA12,M32,0.522896971
BSA12,M41,0.480838838
BSA12,M42,0.37643524
BSA12,M43,0.458433119
BSA12,M44,0.411915323
BSA12,M45,0.379319777
BSA12,M51,0.450921775
BSA12,M53,0.417515751
BSA12,M54,0.3875461
BSA12,M55,0.371505276
BSA12,M56,0.317118883
BSA12,MG11,0.43201115
BSA12,MG12,0.325190964
BSA12,MG13,0.415890495
BSA12,NF11,0.596710149
BSA12,NM11,0.934157177
BSA12,NM21,0.970975148
BSA12,PAD11,0.930081518
BSA12,PRP11,0.796092922
BSA12,SA11,0.370221565
BSA12,SA12,0.36808432
BSA12,SA21,0.26270901
BSA12,SA22,0.262566576
BSA12,SA31,0.334411933
BSA12,SA32,0.33893728
BSA12,SA33,0.270831755
BSA12,SA41,0.246547396
BSA12,SA42,0.267789349
BSA12,SA43,0.201134663
BSA12,UBH11,0.943785217
BSA12,UBH12,0.953662326
BSA12,UBH13,0.840283343
BSA12,UF11,0.44203094
BSA12,UF12,0.464168175
BSA12,UF13,0.436307688
BSA12,UF14,0.438869407
BSA12,UF15,0.441545553
BSA12,UF24,0.414749685
BSA12,UF25,0.393926469
CM11,AP11,0.945260307
CM11,BSA11,0.681663764
CM11,BSA12,0.731070929
CM11,CM11,0.94130147
CM11,CM12,0.966761794
CM11,CM13,0.942344827
CM11,CM21,0.927159359
CM11,CM22,0.910291995
CM11,CM23,0.903968091
CM11,CM24,0.862506753
CM11,CM31,0.82866837
CM11,CM32,0.749588323
CM11,CM33,0.76588642
CM11,CM34,0.656841607
CM11,CM35,0.558250797
CM11,CP11,0.740386278
CM11,CP12,0.677147038
CM11,DM11,0.975685053
CM11,DM12,0.884099529
CM11,DM13,0.8097546
CM11,DM21,0.816283766
CM11,DM22,0.713471151
CM11,DM23,0.517362815
CM11,DMG11,0.572797172
CM11,FF11,0.473247643
CM11,FP11,0.432611424
CM11,FP12,0.285128754
CM11,KU11,0.861497406
CM11,LBH11,0.893928471
CM11,LBH12,0.812336599
CM11,LBH13,0.828488981
CM11,LBH14,0.864650711
CM11,LBH15,0.801197476
CM11,LBH16,0.830388874
CM11,LBH21,0.78184127
CM11,LF11,0.702698187
CM11,LF12,0.686472823
CM11,LF13,0.530700137
CM11,LF14,0.50575003
CM11,LF15,0.517081975
CM11,LF21,0.462777759
CM11,LF22,0.44711477
CM11,LF23,0.396018587
CM11,M11,0.438989852
CM11,M21,0.397883199
CM11,M22,0.523908844
CM11,M32,0.444155931
CM11,M41,0.382478058
CM11,M42,0.261343446
CM11,M43,0.394162991
CM11,M44,0.361975363
CM11,M45,0.344014896
CM11,M51,0.33642942
CM11,M53,0.319683067
CM11,M54,0.311132963
CM11,M55,0.314494984
CM11,M56,0.269869269
CM11,MG11,0.523610349
CM11,MG12,0.421130085
CM11,MG13,0.484815734
CM11,NF11,0.690592723
CM11,NM11,0.869072631
CM11,NM21,0.81806333
CM11,PAD11,0.945122923
CM11,PRP11,0.824927402
CM11,SA11,0.275115963
CM11,SA12,0.253093654
CM11,SA21,0.165486361
CM11,SA22,0.156469442
CM11,SA31,0.22303773
CM11,SA32,0.245336863
CM11,SA33,0.204618879
CM11,SA41,0.146335087
CM11,SA42,0.171306897
CM11,SA43,0.136919955
CM11,UBH11,0.768757586
CM11,UBH12,0.810097189
CM11,UBH13,0.690343173
CM11,UF11,0.384488669
CM11,UF12,0.404034893
CM11,UF13,0.374010447
CM11,UF14,0.365015368
CM11,UF15,0.36404054
CM11,UF24,0.315199501
CM11,UF25,0.293638894
CM12,AP11,0.903009201
CM12,BSA11,0.645840864
CM12,BSA12,0.674924778
CM12,CM11,0.882593137
CM12,CM12,0.942947729
CM12,CM13,0.904409004
CM12,CM21,0.929555512
CM12,CM22,0.918515369
CM12,CM23,0.918663286
CM12,CM24,0.896829165
CM12,CM31,0.877272468
CM12,CM32,0.81948747
CM12,CM33,0.826929927
CM12,CM34,0.734665225
CM12,CM35,0.647216155
CM12,CP11,0.815841477
CM12,CP12,0.755497141
CM12,DM11,0.953370565
CM12,DM12,0.907509912
CM12,DM13,0.865887691
CM12,DM21,0.876526346
CM12,DM22,0.793465323
CM12,DM23,0.602155849
CM12,DMG11,0.617958375
CM12,FF11,0.551972804
CM12,FP11,0.504859115
CM12,FP12,0.354438332
CM12,KU11,0.779360923
CM12,LBH11,0.857990842
CM12,LBH12,0.765012113
CM12,LBH13,0.829921497
CM12,LBH14,0.869715916
CM12,LBH15,0.837484085
CM12,LBH16,0.845234137
CM12,LBH21,0.731260285
CM12,LF11,0.759349654
CM12,LF12,0.750063599
CM12,LF13,0.61185422
CM12,LF14,0.586379349
CM12,LF15,0.602768713
CM12,LF21,0.54130756
CM12,LF22,0.527503482
CM12,LF23,0.467324035
CM12,M11,0.499504252
CM12,M21,0.460574314
CM12,M22,0.575460625
CM12,M32,0.502456312
CM12,M41,0.433713757
CM12,M42,0.304822845
CM12,M43,0.454619486
CM12,M44,0.428799346
CM12,M45,0.410021476
CM12,M51,0.380789807
CM12,M53,0.371314009
CM12,M54,0.369435939
CM12,M55,0.377112733
CM12,M56,0.330132873
CM12,MG11,0.595800082
CM12,MG12,0.483803629
CM12,MG13,0.538386123
CM12,NF11,0.754825241
CM12,NM11,0.791659462
CM12,NM21,0.759184697
CM12,PAD11,0.885357661
CM12,PRP11,0.871222012
CM12,SA11,0.325911706
CM12,SA12,0.296622914
CM12,SA21,0.199731946
CM12,SA22,0.186860577
CM12,SA31,0.263715974
CM12,SA32,0.292202655
CM12,SA33,0.253025319
CM12,SA41,0.176279188
CM12,SA42,0.206850913
CM12,SA43,0.174080725
CM12,UBH11,0.763225416
CM12,UBH12,0.812308132
CM12,UBH13,0.721621774
CM12,UF11,0.456228621
CM12,UF12,0.477512926
CM12,UF13,0.441588717
CM12,UF14,0.43200963
CM12,UF15,0.428796933
CM12,UF24,0.371507513
CM12,UF25,0.347595867
CM13,AP11,0.93782534
CM13,BSA11,0.70509123
CM13,BSA12,0.737732497
CM13,CM11,0.92173478
CM13,CM12,0.96897506
CM13,CM13,0.942553446
CM13,CM21,0.950347829
CM13,CM22,0.939599742
CM13,CM23,0.938525297
CM13,CM24,0.908387208
CM13,CM31,0.881653891
CM13,CM32,0.815590855
CM13,CM33,0.831110353
CM13,CM34,0.73033211
CM13,CM35,0.63283208
CM13,CP11,0.799078823
CM13,CP12,0.736403269
CM13,DM11,0.977028166
CM13,DM12,0.923537563
CM13,DM13,0.8666247
CM13,DM21,0.867074651
CM13,DM22,0.780500664
CM13,DM23,0.589610025
CM13,DMG11,0.59137339
CM13,FF11,0.532664713
CM13,FP11,0.497573176
CM13,FP12,0.342551453
CM13,KU11,0.831934669
CM13,LBH11,0.903717601
CM13,LBH12,0.821557301
CM13,LBH13,0.865618474
CM13,LBH14,0.901839225
CM13,LBH15,0.855752395
CM13,LBH16,0.876917968
CM13,LBH21,0.790575493
CM13,LF11,0.771610901
CM13,LF12,0.757116576
CM13,LF13,0.607381768
CM13,LF14,0.581531879
CM13,LF15,0.592267731
CM13,LF21,0.537258228
CM13,LF22,0.520517968
CM13,LF23,0.464545376
CM13,M11,0.492466677
CM13,M21,0.465246394
CM13,M22,0.584205188
CM13,M32,0.511433952
CM13,M41,0.445036149
CM13,M42,0.315757043
CM13,M43,0.45752943
CM13,M44,0.425958832
CM13,M45,0.40423348
CM13,M51,0.394869874
CM13,M53,0.379324191
CM13,M54,0.371548508
CM13,M55,0.374605317
CM13,M56,0.325789769
CM13,MG11,0.569199242
CM13,MG12,0.455885839
CM13,MG13,0.521405488
CM13,NF11,0.734243219
CM13,NM11,0.84555029
CM13,NM21,0.817444101
CM13,PAD11,0.922437558
CM13,PRP11,0.87565074
CM13,SA11,0.334544982
CM13,SA12,0.307891779
CM13,SA21,0.2087899
CM13,SA22,0.196899717
CM13,SA31,0.273456073
CM13,SA32,0.298084669
CM13,SA33,0.253271417
CM13,SA41,0.184829914
CM13,SA42,0.213916473
CM13,SA43,0.1752236
CM13,UBH11,0.806739492
CM13,UBH12,0.851235165
CM13,UBH13,0.754379869
CM13,UF11,0.456544389
CM13,UF12,0.477082479
CM13,UF13,0.44372578
CM13,UF14,0.434002624
CM13,UF15,0.431085399
CM13,UF24,0.378620451
CM13,UF25,0.354306501
CM21,AP11,0.879749795
CM21,BSA11,0.656497333
CM21,BSA12,0.664356001
CM21,CM11,0.843033331
CM21,CM12,0.925993046
CM21,CM13,0.883592027
CM21,CM21,0.944349413
CM21,CM22,0.940688708
CM21,CM23,0.943587488
CM21,CM24,0.941753983
CM21,CM31,0.931023805
CM21,CM32,0.89307444
CM21,CM33,0.895687347
CM21,CM34,0.816998341
CM21,CM35,0.738064562
CM21,CP11,0.876097369
CM21,CP12,0.815233041
CM21,DM11,0.932593015
CM21,DM12,0.930883694
CM21,DM13,0.917639856
CM21,DM21,0.925099932
CM21,DM22,0.868194716
CM21,DM23,0.689126878
CM21,DMG11,0.615783519
CM21,FF11,0.61540204
CM21,FP11,0.579867605
CM21,FP12,0.43160278
CM21,KU11,0.731903095
CM21,LBH11,0.848669906
CM21,LBH12,0.757251768
CM21,LBH13,0.861388238
CM21,LBH14,0.89445701
CM21,LBH15,0.893846557
CM21,LBH16,0.878550251
CM21,LBH21,0.722458195
CM21,LF11,0.838126024
CM21,LF12,0.820400918
CM21,LF13,0.704254162
CM21,LF14,0.677361855
CM21,LF15,0.696075612
CM21,LF21,0.633212621
CM21,LF22,0.62053734
CM21,LF23,0.552695459
CM21,M11,0.551507641
CM21,M21,0.538236759
CM21,M22,0.633880838
CM21,M32,0.578106793
CM21,M41,0.507402942
CM21,M42,0.375257172
CM21,M43,0.528553072
CM21,M44,0.507671274
CM21,M45,0.483301214
CM21,M51,0.450802949
CM21,M53,0.444339179
CM21,M54,0.445277124
CM21,M55,0.450887333
CM21,M56,0.404520752
CM21,MG11,0.634134385
CM21,MG12,0.50737276
CM21,MG13,0.561975777
CM21,NF11,0.787718166
CM21,NM11,0.747445633
CM21,NM21,0.739038412
CM21,PAD11,0.844063384
CM21,PRP11,0.910874527
CM21,SA11,0.399732814
CM21,SA12,0.366115386
CM21,SA21,0.256340105
CM21,SA22,0.239958909
CM21,SA31,0.329318754
CM21,SA32,0.35932887
CM21,SA33,0.320009876
CM21,SA41,0.228233082
CM21,SA42,0.262612791
CM21,SA43,0.22887394
CM21,UBH11,0.795758337
CM21,UBH12,0.842845755
CM21,UBH13,0.779955162
CM21,UF11,0.546173889
CM21,UF12,0.567756306
CM21,UF13,0.526546785
CM21,UF14,0.519345229
CM21,UF15,0.51297813
CM21,UF24,0.450565481
CM21,UF25,0.424937181
CM22,AP11,0.87190414
CM22,BSA11,0.663827696
CM22,BSA12,0.665737857
CM22,CM11,0.831988351
CM22,CM12,0.919797978
CM22,CM13,0.878171536
CM22,CM21,0.945651407
CM22,CM22,0.944569836
CM22,CM23,0.949129021
CM22,CM24,0.951786446
CM22,CM31,0.9435915
CM22,CM32,0.911258995
CM22,CM33,0.913832803
CM22,CM34,0.839644785
CM22,CM35,0.762711404
CM22,CP11,0.889730486
CM22,CP12,0.829705391
CM22,DM11,0.925471825
CM22,DM12,0.937608308
CM22,DM13,0.930754659
CM22,DM21,0.935281851
CM22,DM22,0.886313961
CM22,DM23,0.71388257
CM22,DMG11,0.613599129
CM22,FF11,0.633111731
CM22,FP11,0.603220234
CM22,FP12,0.454441277
CM22,KU11,0.720384822
CM22,LBH11,0.847814235
CM22,LBH12,0.758160786
CM22,LBH13,0.870654042
CM22,LBH14,0.90245034
CM22,LBH15,0.908889674
CM22,LBH16,0.89029722
CM22,LBH21,0.723716592
CM22,LF11,0.860219403
CM22,LF12,0.841720661
CM22,LF13,0.731373167
CM22,LF14,0.704419507
CM22,LF15,0.722595081
CM22,LF21,0.661315624
CM22,LF22,0.64844077
CM22,LF23,0.579817814
CM22,M11,0.568062646
CM22,M21,0.564390583
CM22,M22,0.654086784
CM22,M32,0.6036493
CM22,M41,0.532606807
CM22,M42,0.399757576
CM22,M43,0.553069114
CM22,M44,0.532865413
CM22,M45,0.506111005
CM22,M51,0.474946634
CM22,M53,0.469357203
CM22,M54,0.470401792
CM22,M55,0.474765755
CM22,M56,0.427723948
CM22,MG11,0.643479978
CM22,MG12,0.513142287
CM22,MG13,0.56893945
CM22,NF11,0.794950803
CM22,NM11,0.737531913
CM22,NM21,0.736757331
CM22,PAD11,0.831835498
CM22,PRP11,0.921503531
CM22,SA11,0.425731009
CM22,SA12,0.390600935
CM22,SA21,0.277223664
CM22,SA22,0.25947564
CM22,SA31,0.352444613
CM22,SA32,0.382397413
CM22,SA33,0.341987841
CM22,SA41,0.247124918
CM22,SA42,0.282597139
CM22,SA43,0.247670109
CM22,UBH11,0.806700657
CM22,UBH12,0.853638024
CM22,UBH13,0.800703095
CM22,UF11,0.574974449
CM22,UF12,0.596768221
CM22,UF13,0.554571171
CM22,UF14,0.547841239
CM22,UF15,0.540606137
CM22,UF24,0.477738309
CM22,UF25,0.451432373
CM23,AP11,0.854273964
CM23,BSA11,0.654163444
CM23,BSA12,0.653036108
CM23,CM11,0.814249511
CM23,CM12,0.906608388
CM23,CM13,0.864455669
CM23,CM21,0.934802971
CM23,CM22,0.935358208
CM23,CM23,0.944529828
CM23,CM24,0.94994881
CM23,CM31,0.948719157
CM23,CM32,0.921920095
CM23,CM33,0.923030508
CM23,CM34,0.858304782
CM23,CM35,0.786222864
