BECvar_site,BECvar_seed,HTp_pred
futBSA12,LBH16,0.921511642
futBSA12,LBH21,0.866553228
futBSA12,LF11,0.822788503
futBSA12,LF12,0.770058214
futBSA12,LF13,0.611368434
futBSA12,LF14,0.585273181
futBSA12,LF15,0.614649322
futBSA12,LF21,0.559470271
futBSA12,LF22,0.561382096
futBSA12,LF23,0.52355923
futBSA12,M11,0.593790278
futBSA12,M21,0.479390094
futBSA12,M22,0.62566802
futBSA12,M32,0.564816551
futBSA12,M41,0.518882974
futBSA12,M42,0.390197065
futBSA12,M43,0.539957726
futBSA12,M44,0.506334972
futBSA12,M45,0.496281622
futBSA12,M51,0.472864605
futBSA12,M53,0.466957255
futBSA12,M54,0.460913442
futBSA12,M55,0.470190758
futBSA12,M56,0.412967899
futBSA12,MG11,0.604523791
futBSA12,MG12,0.486865238
futBSA12,MG13,0.579939173
futBSA12,NF11,0.764114457
futBSA12,NM11,0.858199099
futBSA12,NM21,0.879959347
futBSA12,PAD11,0.902482637
futBSA12,PRP11,0.867568116
futBSA12,SA11,0.367964045
futBSA12,SA12,0.367256281
futBSA12,SA21,0.24014897
futBSA12,SA22,0.242676775
futBSA12,SA31,0.344157867
futBSA12,SA32,0.388969676
futBSA12,SA33,0.333445879
futBSA12,SA41,0.237774162
futBSA12,SA42,0.287282664
futBSA12,SA43,0.236223326
futBSA12,UBH11,0.889779559
futBSA12,UBH12,0.925745964
futBSA12,UBH13,0.818813274
futBSA12,UF11,0.465265747
futBSA12,UF12,0.503214395
futBSA12,UF13,0.462597753
futBSA12,UF14,0.478411547
futBSA12,UF15,0.499559038
futBSA12,UF24,0.440271858
futBSA12,UF25,0.424623136
futCM11,AP11,0.830217573
futCM11,BSA11,0.513434837
futCM11,BSA12,0.55753615
futCM11,CM11,0.818286762
futCM11,CM12,0.901
futCM11,CM13,0.827255315
futCM11,CM21,0.847384235
futCM11,CM22,0.82919632
futCM11,CM23,0.828771966
futCM11,CM24,0.807120069
futCM11,CM31,0.798701164
futCM11,CM32,0.736386258
futCM11,CM33,0.728569512
futCM11,CM34,0.642117991
futCM11,CM35,0.577310615
futCM11,CP11,0.786944964
futCM11,CP12,0.744531315
futCM11,DM11,0.901
futCM11,DM12,0.825295113
futCM11,DM13,0.789137431
futCM11,DM21,0.833566662
futCM11,DM22,0.732633268
futCM11,DM23,0.543934443
futCM11,DMG11,0.694581029
futCM11,FF11,0.556594367
futCM11,FP11,0.462634954
futCM11,FP12,0.332066543
futCM11,KU11,0.703488763
futCM11,LBH11,0.759376718
futCM11,LBH12,0.651199625
futCM11,LBH13,0.709669699
futCM11,LBH14,0.760184064
futCM11,LBH15,0.728809976
futCM11,LBH16,0.729601571
futCM11,LBH21,0.615621299
futCM11,LF11,0.641587921
futCM11,LF12,0.645127391
futCM11,LF13,0.50968265
futCM11,LF14,0.487561336
futCM11,LF15,0.522940155
futCM11,LF21,0.44703232
futCM11,LF22,0.447956562
futCM11,LF23,0.395045836
futCM11,M11,0.499939579
