plant_SZ,seed_SZ,GS
AP11,AP11,0.839634845
AP11,BSA11,0.506317297
AP11,BSA12,0.543234038
AP11,CM11,0.814924416
AP11,CM12,0.892495586
AP11,CM13,0.836765804
AP11,CM21,0.868298286
AP11,CM22,0.850737541
AP11,CM23,0.848157463
AP11,CM24,0.818446079
AP11,CM31,0.791097785
AP11,CM32,0.719950402
AP11,CM33,0.726455238
AP11,CM34,0.614446054
AP11,CM35,0.515850171
AP11,CP11,0.718488884
AP11,CP12,0.643145209
AP11,DM11,0.907873031
AP11,DM12,0.828759181
AP11,DM13,0.777401832
AP11,DM21,0.794957219
AP11,DM22,0.689935277
AP11,DM23,0.462332987
AP11,DMG11,0.498006593
AP11,FF11,0.412121796
AP11,FP11,0.356319623
AP11,FP12,0.220856929
AP11,KU11,0.682820537
AP11,LBH11,0.769341376
AP11,LBH12,0.65023129
AP11,LBH13,0.727804728
AP11,LBH14,0.777606534
AP11,LBH15,0.735655832
AP11,LBH16,0.741553123
AP11,LBH21,0.609596932
AP11,LF11,0.639485492
AP11,LF12,0.627068655
AP11,LF13,0.473327181
AP11,LF14,0.445432447
AP11,LF15,0.464144163
AP11,LF21,0.395486673
AP11,LF22,0.38178891
AP11,LF23,0.318362816
AP11,M11,0.352020317
AP11,M21,0.310692328
AP11,M22,0.423175235
AP11,M32,0.348650494
AP11,M41,0.281396487
AP11,M42,0.17116119
AP11,M43,0.303178108
AP11,M44,0.281839905
AP11,M45,0.266491691
AP11,M51,0.233907789
AP11,M53,0.22656901
AP11,M54,0.227131446
AP11,M55,0.235921133
AP11,M56,0.197055368
AP11,MG11,0.465795914
AP11,MG12,0.352080109
AP11,MG13,0.400353394
AP11,NF11,0.645543542
AP11,NM11,0.694644695
AP11,NM21,0.647066076
AP11,PAD11,0.821419822
AP11,PRP11,0.782356287
AP11,SA11,0.189918018
AP11,SA12,0.165362974
AP11,SA21,0.09518699
AP11,SA22,0.086459745
AP11,SA31,0.140043807
AP11,SA32,0.162549271
AP11,SA33,0.134806402
AP11,SA41,0.079742153
AP11,SA42,0.099904518
AP11,SA43,0.079961878
AP11,UBH11,0.643063765
AP11,UBH12,0.702333912
AP11,UBH13,0.586297022
AP11,UF11,0.311098223
AP11,UF12,0.330148107
AP11,UF13,0.294691889
AP11,UF14,0.284810589
AP11,UF15,0.280412277
AP11,UF24,0.228043676
AP11,UF25,0.207506535
BSA11,AP11,0.881312731
BSA11,BSA11,0.842717599
BSA11,BSA12,0.82749672
BSA11,CM11,0.834015523
BSA11,CM12,0.902434585
BSA11,CM13,0.905556857
BSA11,CM21,0.928895071
BSA11,CM22,0.934975964
BSA11,CM23,0.939480899
BSA11,CM24,0.90222182
BSA11,CM31,0.857434526
BSA11,CM32,0.777941832
BSA11,CM33,0.82107233
BSA11,CM34,0.690716666
BSA11,CM35,0.564199479
BSA11,CP11,0.688463573
BSA11,CP12,0.61463968
BSA11,DM11,0.886744939
BSA11,DM12,0.880520875
BSA11,DM13,0.806903713
BSA11,DM21,0.767922536
BSA11,DM22,0.702332676
BSA11,DM23,0.522614575
BSA11,DMG11,0.357055191
BSA11,FF11,0.410443637
BSA11,FP11,0.434525025
BSA11,FP12,0.281017038
BSA11,KU11,0.768401441
BSA11,LBH11,0.929429922
BSA11,LBH12,0.892184982
BSA11,LBH13,0.949872934
BSA11,LBH14,0.958444329
BSA11,LBH15,0.899256818
BSA11,LBH16,0.9324606
BSA11,LBH21,0.873577995
BSA11,LF11,0.826159539
BSA11,LF12,0.744535779
BSA11,LF13,0.573358826
BSA11,LF14,0.541425311
BSA11,LF15,0.54118262
BSA11,LF21,0.507550042
BSA11,LF22,0.487076677
BSA11,LF23,0.437741284
BSA11,M11,0.402387369
BSA11,M21,0.435650336
BSA11,M22,0.537343512
BSA11,M32,0.508222562
BSA11,M41,0.455369434
