plant_fut_SZ,seed_SZ,HTp
futAP11,AP11,0.8577648547
futAP11,BSA11,0.5521795606
futAP11,BSA12,0.5905604425
futAP11,CM11,0.8366678299
futAP11,CM12,0.9050797574
futAP11,CM13,0.8560366394
futAP11,CM21,0.8873566747
futAP11,CM22,0.8718460609
futAP11,CM23,0.8703597202
futAP11,CM24,0.851133039
futAP11,CM31,0.8388409107
futAP11,CM32,0.774610511
futAP11,CM33,0.7693133746
futAP11,CM34,0.6741663189
futAP11,CM35,0.6028719003
futAP11,CP11,0.8084292427
futAP11,CP12,0.7586835037
futAP11,DM11,0.9186634493
futAP11,DM12,0.8545939371
futAP11,DM13,0.8192876032
futAP11,DM21,0.859353341
futAP11,DM22,0.7621752965
futAP11,DM23,0.5658835563
futAP11,DMG11,0.6556025784
futAP11,FF11,0.558731335
futAP11,FP11,0.4768221375
futAP11,FP12,0.3429576823
futAP11,KU11,0.719305556
futAP11,LBH11,0.7953220502
futAP11,LBH12,0.687672112
futAP11,LBH13,0.7585062503
futAP11,LBH14,0.8040118926
futAP11,LBH15,0.7764722879
futAP11,LBH16,0.7709905215
futAP11,LBH21,0.6515448243
futAP11,LF11,0.6895784822
futAP11,LF12,0.6768979279
futAP11,LF13,0.5379895462
futAP11,LF14,0.5127406766
futAP11,LF15,0.549236532
futAP11,LF21,0.4719261449
futAP11,LF22,0.4727543832
futAP11,LF23,0.4159277971
futAP11,M11,0.5026365441
futAP11,M21,0.3784587861
futAP11,M22,0.5105268273
futAP11,M32,0.4298927721
futAP11,M41,0.3674580702
futAP11,M42,0.2417161371
futAP11,M43,0.4092242403
futAP11,M44,0.392522463
futAP11,M45,0.3917723735
futAP11,M51,0.3134243214
futAP11,M53,0.3162526342
futAP11,M54,0.326349651
futAP11,M55,0.3478118487
futAP11,M56,0.3069960469
futAP11,MG11,0.6241730666
futAP11,MG12,0.5199818489
futAP11,MG13,0.5640708103
futAP11,NF11,0.7726849627
futAP11,NM11,0.7316542499
futAP11,NM21,0.6877168699
futAP11,PAD11,0.8421656008
futAP11,PRP11,0.8219494284
futAP11,SA11,0.2466692899
futAP11,SA12,0.226282167
futAP11,SA21,0.1353215301
futAP11,SA22,0.12840197
futAP11,SA31,0.2039472701
futAP11,SA32,0.2467723224
futAP11,SA33,0.2200963082
futAP11,SA41,0.1245697508
futAP11,SA42,0.1603633239
futAP11,SA43,0.1398401954
futAP11,UBH11,0.6793737379
futAP11,UBH12,0.7343859006
futAP11,UBH13,0.6277782958
futAP11,UF11,0.3720307281
futAP11,UF12,0.4001369973
futAP11,UF13,0.3604130722
futAP11,UF14,0.3608687412
futAP11,UF15,0.3697390654
futAP11,UF24,0.3009413383
futAP11,UF25,0.2835630714
futBSA11,AP11,0.8981894547
futBSA11,BSA11,0.8605286398
futBSA11,BSA12,0.8479216913
futBSA11,CM11,0.8531782384
futBSA11,CM12,0.918243953
futBSA11,CM13,0.9173203458
futBSA11,CM21,0.9523317488
futBSA11,CM22,0.9583415323
futBSA11,CM23,0.964077956
futBSA11,CM24,0.9439042249
futBSA11,CM31,0.9222229075
futBSA11,CM32,0.8501987673
futBSA11,CM33,0.8735328238
futBSA11,CM34,0.7661376756
futBSA11,CM35,0.6761375441
futBSA11,CP11,0.8077249188
futBSA11,CP12,0.7612304643
futBSA11,DM11,0.903218629
futBSA11,DM12,0.913955511
futBSA11,DM13,0.864501988
futBSA11,DM21,0.8590725353
futBSA11,DM22,0.7987043624
futBSA11,DM23,0.6575316209
futBSA11,DMG11,0.5173707059
futBSA11,FF11,0.5888651371
futBSA11,FP11,0.5977166687
futBSA11,FP12,0.4515232927
futBSA11,KU11,0.7937067948
futBSA11,LBH11,0.9383800816
futBSA11,LBH12,0.9047135689
futBSA11,LBH13,0.9673376226
futBSA11,LBH14,0.9753444719
futBSA11,LBH15,0.9436893094
futBSA11,LBH16,0.951541567
futBSA11,LBH21,0.8884300631
futBSA11,LF11,0.8814297236
futBSA11,LF12,0.8029713133
futBSA11,LF13,0.6535314545
futBSA11,LF14,0.6257247312
futBSA11,LF15,0.6514963638
futBSA11,LF21,0.607422487
futBSA11,LF22,0.6095329624
futBSA11,LF23,0.5759109354
futBSA11,M11,0.600378063
futBSA11,M21,0.5253504427
futBSA11,M22,0.6537683341
futBSA11,M32,0.6211604394
futBSA11,M41,0.5854464297
futBSA11,M42,0.4679642996
futBSA11,M43,0.5922911452
futBSA11,M44,0.5562969214
futBSA11,M45,0.5359988423
futBSA11,M51,0.5452150816
futBSA11,M53,0.5371285525
futBSA11,M54,0.524011866
futBSA11,M55,0.5222063042
futBSA11,M56,0.4625118901
futBSA11,MG11,0.5615183853
futBSA11,MG12,0.4327220162
futBSA11,MG13,0.5355260921
futBSA11,NF11,0.7195029538
futBSA11,NM11,0.8164618163
futBSA11,NM21,0.8823953903
futBSA11,PAD11,0.8425927489
futBSA11,PRP11,0.8582042767
futBSA11,SA11,0.4323240003
futBSA11,SA12,0.4417421109
futBSA11,SA21,0.2994088198
futBSA11,SA22,0.306542704
futBSA11,SA31,0.4187318672
futBSA11,SA32,0.4579737417
futBSA11,SA33,0.3914944947
futBSA11,SA41,0.3014152226
futBSA11,SA42,0.3533893486
futBSA11,SA43,0.288905412
futBSA11,UBH11,0.945482048
futBSA11,UBH12,0.970157438
futBSA11,UBH13,0.8891336025
futBSA11,UF11,0.518992119
futBSA11,UF12,0.5598881517
futBSA11,UF13,0.5165291646
futBSA11,UF14,0.5415889817
futBSA11,UF15,0.5649691605
futBSA11,UF24,0.5124510707
futBSA11,UF25,0.4983306704
futBSA12,AP11,0.9498063968
futBSA12,BSA11,0.8383875284
futBSA12,BSA12,0.8572294082
futBSA12,CM11,0.9196781612
futBSA12,CM12,0.9638716725
futBSA12,CM13,0.961187001
futBSA12,CM21,0.9672782993
futBSA12,CM22,0.9634147923
futBSA12,CM23,0.9642590412
futBSA12,CM24,0.9277572072
futBSA12,CM31,0.9000194635
futBSA12,CM32,0.8082165538
futBSA12,CM33,0.82991477
futBSA12,CM34,0.7103036139
futBSA12,CM35,0.6155435489
futBSA12,CP11,0.7887480383
futBSA12,CP12,0.7406779669
futBSA12,DM11,0.9532844193
futBSA12,DM12,0.9172203089
futBSA12,DM13,0.844272517
futBSA12,DM21,0.8515567853
futBSA12,DM22,0.7609038557
futBSA12,DM23,0.5962068387
futBSA12,DMG11,0.5565786719
futBSA12,FF11,0.5540409368
futBSA12,FP11,0.5378760299
futBSA12,FP12,0.3840374616
futBSA12,KU11,0.8635291143
futBSA12,LBH11,0.9628774676
futBSA12,LBH12,0.9187525404
futBSA12,LBH13,0.9460737811
futBSA12,LBH14,0.9643012052
futBSA12,LBH15,0.9060601502
futBSA12,LBH16,0.9286473517
futBSA12,LBH21,0.8995205339
futBSA12,LF11,0.8149257515
futBSA12,LF12,0.7510068245
futBSA12,LF13,0.5824861268
futBSA12,LF14,0.5555676259
futBSA12,LF15,0.582967717
futBSA12,LF21,0.5317114868
futBSA12,LF22,0.5325151545
futBSA12,LF23,0.4984803758
futBSA12,M11,0.5651150273
futBSA12,M21,0.4566506845
futBSA12,M22,0.6088410354
futBSA12,M32,0.5484009991
futBSA12,M41,0.5066748011
futBSA12,M42,0.3794380776
futBSA12,M43,0.5204017862
futBSA12,M44,0.4812883848
futBSA12,M45,0.4680734249
futBSA12,M51,0.4633839743
futBSA12,M53,0.4525595842
futBSA12,M54,0.4406919514
futBSA12,M55,0.4448460867
futBSA12,M56,0.3866025854
futBSA12,MG11,0.5601917764
futBSA12,MG12,0.4409520028
futBSA12,MG13,0.5426503034
futBSA12,NF11,0.7280822366
futBSA12,NM11,0.8810492878
futBSA12,NM21,0.9106499896
futBSA12,PAD11,0.9125394227
futBSA12,PRP11,0.849396612
futBSA12,SA11,0.3507349155
futBSA12,SA12,0.3549667169
futBSA12,SA21,0.2276279326
futBSA12,SA22,0.2324893331
futBSA12,SA31,0.332405847
futBSA12,SA32,0.3731258432
futBSA12,SA33,0.3126838755
futBSA12,SA41,0.2274534169
futBSA12,SA42,0.2744109012
futBSA12,SA43,0.2187061691
futBSA12,UBH11,0.9127947502
futBSA12,UBH12,0.9429553791
futBSA12,UBH13,0.8245030826
futBSA12,UF11,0.4389076456
futBSA12,UF12,0.4774533333
futBSA12,UF13,0.4381756694
futBSA12,UF14,0.4561084824
futBSA12,UF15,0.4790193062
futBSA12,UF24,0.4232177052
futBSA12,UF25,0.4083475667
