plant_fut_SZ,seed_SZ,HTp
futBSA12,DMG11,0.5728503401
futBSA12,FF11,0.5703665855
futBSA12,FP11,0.5545322764
futBSA12,FP12,0.4025440971
futBSA12,KU11,0.8697827398
futBSA12,LBH11,0.9646704511
futBSA12,LBH12,0.9225892543
futBSA12,LBH13,0.9486564815
futBSA12,LBH14,0.966026643
futBSA12,LBH15,0.9104665229
futBSA12,LBH16,0.9320342499
futBSA12,LBH21,0.9042171636
futBSA12,LF11,0.8231692157
futBSA12,LF12,0.7616571572
futBSA12,LF13,0.5981753089
futBSA12,LF14,0.5718608671
futBSA12,LF15,0.5986455393
futBSA12,LF21,0.5484876786
futBSA12,LF22,0.5492759037
futBSA12,LF23,0.5158426799
futBSA12,M11,0.5812010456
futBSA12,M21,0.4745972817
futBSA12,M22,0.6238808917
futBSA12,M32,0.5648446083
futBSA12,M41,0.5239022547
futBSA12,M42,0.3979588054
futBSA12,M43,0.5373890393
futBSA12,M44,0.4989122863
futBSA12,M45,0.4858782284
futBSA12,M51,0.4812486464
futBSA12,M53,0.4705536068
futBSA12,M54,0.4588133122
futBSA12,M55,0.4629246218
futBSA12,M56,0.4051001865
futBSA12,MG11,0.5763856295
futBSA12,MG12,0.4590707384
futBSA12,MG13,0.5592113129
futBSA12,NF11,0.7395340779
futBSA12,NM11,0.886553626
futBSA12,NM21,0.9148513194
futBSA12,PAD11,0.9166560294
futBSA12,PRP11,0.8562424608
futBSA12,SA11,0.3692803847
futBSA12,SA12,0.3735155776
futBSA12,SA21,0.2448139829
futBSA12,SA22,0.2497827041
futBSA12,SA31,0.350907184
futBSA12,SA32,0.3916614532
futBSA12,SA33,0.3310818911
futBSA12,SA41,0.2446355182
futBSA12,SA42,0.2924286528
futBSA12,SA43,0.2356815901
futBSA12,UBH11,0.9168998937
futBSA12,UBH12,0.9456831022
futBSA12,UBH13,0.8323650169
futBSA12,UF11,0.4570468169
futBSA12,UF12,0.4951315677
futBSA12,UF13,0.456322045
futBSA12,UF14,0.4740614677
futBSA12,UF15,0.4966755345
futBSA12,UF24,0.4414981098
futBSA12,UF25,0.4267356481
futCM11,AP11,0.8717222159
futCM11,BSA11,0.5592477461
futCM11,BSA12,0.6070392505
futCM11,CM11,0.861499642
futCM11,CM12,0.9126288298
futCM11,CM13,0.8683078941
futCM11,CM21,0.8802107393
futCM11,CM22,0.861773159
futCM11,CM23,0.8596188771
futCM11,CM24,0.8331786661
futCM11,CM31,0.8199849656
futCM11,CM32,0.7490164106
futCM11,CM33,0.7454114683
futCM11,CM34,0.6505799571
futCM11,CM35,0.5789369427
futCM11,CP11,0.7920027599
futCM11,CP12,0.7468829244
futCM11,DM11,0.928357158
futCM11,DM12,0.850846746
futCM11,DM13,0.8037996033
futCM11,DM21,0.8451883888
futCM11,DM22,0.7385376715
futCM11,DM23,0.5469860652
futCM11,DMG11,0.6874855476
futCM11,FF11,0.5535580187
futCM11,FP11,0.4681846009
futCM11,FP12,0.3308973195
futCM11,KU11,0.7534533333
futCM11,LBH11,0.8040020631
futCM11,LBH12,0.7000017954
futCM11,LBH13,0.7488510168
futCM11,LBH14,0.7967372515
futCM11,LBH15,0.7576373188
futCM11,LBH16,0.7634559941
futCM11,LBH21,0.6648434458
futCM11,LF11,0.6636688388
futCM11,LF12,0.659866069
futCM11,LF13,0.5154748683
futCM11,LF14,0.4924090673
futCM11,LF15,0.5265183185
futCM11,LF21,0.4530152787
futCM11,LF22,0.4530585447
futCM11,LF23,0.4023956066
futCM11,M11,0.5063825255
futCM11,M21,0.3705486206
futCM11,M22,0.5123377344
futCM11,M32,0.422604991
futCM11,M41,0.3619331593
futCM11,M42,0.235310223
futCM11,M43,0.4026972799
futCM11,M44,0.3822608755
futCM11,M45,0.38356789
futCM11,M51,0.3092274144
futCM11,M53,0.3095769178
futCM11,M54,0.3173018565
futCM11,M55,0.3386326397
futCM11,M56,0.2971907447
futCM11,MG11,0.6319291845
futCM11,MG12,0.5380757116
futCM11,MG13,0.5839370237
futCM11,NF11,0.7772186118
futCM11,NM11,0.7638664796
futCM11,NM21,0.7052320557
futCM11,PAD11,0.8676352636
futCM11,PRP11,0.8142173004
futCM11,SA11,0.2390021866
futCM11,SA12,0.2198509326
futCM11,SA21,0.1313714713
futCM11,SA22,0.1250916805
futCM11,SA31,0.1981792266
futCM11,SA32,0.2405860226
futCM11,SA33,0.2124141219
futCM11,SA41,0.1211526701
futCM11,SA42,0.1563699906
futCM11,SA43,0.1344157631
futCM11,UBH11,0.6722988525
futCM11,UBH12,0.7264315174
futCM11,UBH13,0.6148503254
futCM11,UF11,0.3554421158
futCM11,UF12,0.3831929558
futCM11,UF13,0.347505324
futCM11,UF14,0.3465474817
futCM11,UF15,0.3570018991
futCM11,UF24,0.2906942798
futCM11,UF25,0.2738429456
futCM12,AP11,0.8079918514
futCM12,BSA11,0.5157832036
futCM12,BSA12,0.5459716242
futCM12,CM11,0.7849774525
futCM12,CM12,0.901
futCM12,CM13,0.8113250829
futCM12,CM21,0.901
futCM12,CM22,0.8432028287
futCM12,CM23,0.8474708289
futCM12,CM24,0.8389746638
futCM12,CM31,0.8388162128
futCM12,CM32,0.7931372139
futCM12,CM33,0.781570958
futCM12,CM34,0.7065239704
futCM12,CM35,0.6491864694
futCM12,CP11,0.8401133192
futCM12,CP12,0.7998932578
futCM12,DM11,0.901
futCM12,DM12,0.8480022238
futCM12,DM13,0.833642304
futCM12,DM21,0.901
futCM12,DM22,0.7938943376
futCM12,DM23,0.6134651412
futCM12,DMG11,0.7055507807
futCM12,FF11,0.6172998671
futCM12,FP11,0.5235961889
futCM12,FP12,0.3929796722
futCM12,KU11,0.661961256
futCM12,LBH11,0.7512586131
futCM12,LBH12,0.6416126799
futCM12,LBH13,0.7277431495
futCM12,LBH14,0.7782120052
futCM12,LBH15,0.7667364183
futCM12,LBH16,0.7559030701
futCM12,LBH21,0.605779098
futCM12,LF11,0.6955000026
futCM12,LF12,0.701166898
futCM12,LF13,0.5782459045
futCM12,LF14,0.5552606127
futCM12,LF15,0.593912666
futCM12,LF21,0.5138158031
futCM12,LF22,0.5162300714
futCM12,LF23,0.4569989511
futCM12,M11,0.5481566333
futCM12,M21,0.4163944106
futCM12,M22,0.5415133683
futCM12,M32,0.4610398328
futCM12,M41,0.3940833674
futCM12,M42,0.2634066524
futCM12,M43,0.4448705196
futCM12,M44,0.4337762548
futCM12,M45,0.4363751494
futCM12,M51,0.3356890251
futCM12,M53,0.344435836
futCM12,M54,0.3606437305
futCM12,M55,0.3881303565
futCM12,M56,0.3469488724
futCM12,MG11,0.686313906
futCM12,MG12,0.5881013723
futCM12,MG13,0.6161154312
futCM12,NF11,0.8131091921
futCM12,NM11,0.6770381103
futCM12,NM21,0.6377541901
futCM12,PAD11,0.7892815568
futCM12,PRP11,0.8338939433
futCM12,SA11,0.2749827744
futCM12,SA12,0.2485044347
futCM12,SA21,0.1539837561
futCM12,SA22,0.1441894069
futCM12,SA31,0.2249959536
futCM12,SA32,0.2738626913
futCM12,SA33,0.250744888
futCM12,SA41,0.1402708732
futCM12,SA42,0.1806552577
futCM12,SA43,0.1634350279
futCM12,UBH11,0.6478017191
futCM12,UBH12,0.707687285
futCM12,UBH13,0.6262354716
futCM12,UF11,0.4115170315
futCM12,UF12,0.4400378247
futCM12,UF13,0.3990151262
futCM12,UF14,0.3968514572
futCM12,UF15,0.404758148
futCM12,UF24,0.3307397137
futCM12,UF25,0.3120689969
futCM13,AP11,0.8593868379
futCM13,BSA11,0.5778892695
futCM13,BSA12,0.6106722953
futCM13,CM11,0.8375959208
futCM13,CM12,0.9098742488
futCM13,CM13,0.8641854332
futCM13,CM21,0.8988344856
futCM13,CM22,0.8868213911
futCM13,CM23,0.890440229
futCM13,CM24,0.8763115258
futCM13,CM31,0.8719917876
futCM13,CM32,0.8162494482
futCM13,CM33,0.8103036441
futCM13,CM34,0.7262839043
futCM13,CM35,0.6598060057
futCM13,CP11,0.8553041031
futCM13,CP12,0.8133546594
futCM13,DM11,0.9247967739
futCM13,DM12,0.8878041239
futCM13,DM13,0.8607731977
futCM13,DM21,0.8971195885
futCM13,DM22,0.8094982915
futCM13,DM23,0.627100782
futCM13,DMG11,0.7075380195
futCM13,FF11,0.6259946084
futCM13,FP11,0.5423682751
futCM13,FP12,0.4015244654
futCM13,KU11,0.7217595417
futCM13,LBH11,0.8097558412
futCM13,LBH12,0.705540247
futCM13,LBH13,0.7812607702
futCM13,LBH14,0.8299194942
futCM13,LBH15,0.809375049
futCM13,LBH16,0.8064589489
futCM13,LBH21,0.6701346949
futCM13,LF11,0.7307273891
futCM13,LF12,0.7306832824
futCM13,LF13,0.5940685711
futCM13,LF14,0.5704168118
futCM13,LF15,0.6069962549
futCM13,LF21,0.5302868279
futCM13,LF22,0.5317185098
futCM13,LF23,0.4763372056
futCM13,M11,0.5708897329
futCM13,M21,0.4376389925
futCM13,M22,0.5743671874
futCM13,M32,0.4905961503
futCM13,M41,0.4248951813
futCM13,M42,0.287782555
futCM13,M43,0.4713540061
futCM13,M44,0.453973468
futCM13,M45,0.4546364693
futCM13,M51,0.366444103
futCM13,M53,0.3711924193
futCM13,M54,0.3829652698
futCM13,M55,0.4074827683
futCM13,M56,0.362645241
futCM13,MG11,0.687977753
futCM13,MG12,0.5832479195
futCM13,MG13,0.6286181639
futCM13,NF11,0.8259264188
futCM13,NM11,0.7379849701
futCM13,NM21,0.7016456514
futCM13,PAD11,0.8403631351
futCM13,PRP11,0.864423352
futCM13,SA11,0.2946387456
futCM13,SA12,0.2710067382
futCM13,SA21,0.1686470683
futCM13,SA22,0.1600527839
futCM13,SA31,0.2463001941
futCM13,SA32,0.2959444044
futCM13,SA33,0.2664216055
futCM13,SA41,0.1555683298
futCM13,SA42,0.1982509479
futCM13,SA43,0.1748860045
futCM13,UBH11,0.704973104
